star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class
Gaia DR3 386653747925624576,1.4262386378366099,45.80971591580014,86.82060614940866,11.518002975919226,846.0132101843459,-148.9092143394255,-2.2391562461853027,8.300702,1.870163,8.961901,7.99381616301649,,,,native_gaia,Gaia,114.65385848635516,-16.325667881492084,-4.61084291730284,10.045994170045546,-3.237672200926658,3846.458174542683,255,209,158,#FFD19E,0.5717819335419149,-37.07917244230076,-24.4809931741447,-15.189637403120392,HD     38B,,M0.5V,Main sequence
Gaia DR3 6160573275451466752,191.62349103261755,-31.660402573466524,86.81704226710433,11.518475795608946,-14.16300502088486,-562.1881840037391,,20.674969,2.6201668,21.88834,20.367993649285836,,,,native_gaia,Gaia,301.7020000955014,31.199538144118094,5.1775234101388765,-8.382470286820475,5.966802148727987,3397.323739188058,255,197,134,#FFC586,,,,,2MASS J12462965-3139280,,T1,Brown dwarf
Gaia DR3 386653851004022144,1.4265906375173685,45.811373876292514,86.80034639406611,11.520691351392609,888.4790652562915,-162.83098719525617,1.2486755847930908,8.25029,1.8457236,8.895866,7.942897208584974,,,,native_gaia,Gaia,114.65442737482661,-16.324083278122927,-4.612056246230441,10.048374572407534,-3.23812211756335,3865.5327773675685,255,209,158,#FFD19E,0.5746915880808586,-40.291627747691,-22.636583664870788,-17.29991095342251,HD     38A,,K6V,Main sequence
Gaia DR3 3912369208386557440,178.53324514004805,9.802773361080156,86.77858242068082,11.523580728159981,85.26814361016403,-801.6810370024117,1.5196820497512817,11.527947,2.7202291,12.824579,11.2200101828156,3235.091064453125,,,native_gaia,Gaia,262.2666838355967,68.02637239282573,-0.5802183804239748,-4.2726748367653835,10.686463829008648,3334.4273921421595,255,196,131,#FFC483,0.28079887989028407,25.118963785116,-34.55431825468569,-10.812997142041985,Ross  119,,M4.0Ve,Main sequence
HIP 72848,223.34694355941937,19.15376213599039,86.69000244140625,11.535355567932129,-442.75,216.83999633789062,,5.748843,1.0297459,6.0,5.438688278198242,,,,transformed_from_johnson,Hipparcos,23.550963747861637,60.93771720061731,5.136678941955991,2.2389264968478138,10.08296413102821,5194.075200774453,255,234,215,#FFEAD7,0.8610804316509201,,,,V* DE Boo,,K0.5V,Main sequence
Gaia DR3 614543647497149056,145.29015483359296,13.208925979812514,86.61958910034566,11.544732668282878,-660.0385148963486,-143.16885005857742,10.823298454284668,9.442556,2.2408972,10.35988,9.13063697734757,3557.65380859375,,,native_gaia,Gaia,220.55307542436017,43.533598055061546,-6.359249526502586,-5.441508187881694,7.9517788250812815,3557.1046410537347,255,201,142,#FFC98E,0.4812537942244363,-30.145553885240922,-15.025762883822908,-18.6768051596422,Ross   85,,M2.5V,Main sequence
Gaia DR3 6409685433069148288,329.90241321791643,-59.75337286630774,86.56130818207497,11.552505628687795,886.0460533740757,-125.52952181234144,12.953561782836914,8.91724,2.052734,9.700183,8.603859198869223,3435.03271484375,,,native_gaia,Gaia,332.67601801204756,-46.22059335612781,7.101174013933093,-3.6689541471531237,-8.341012491945593,3703.9637867997335,255,205,150,#FFCD96,0.5258272985572195,-30.68478547060793,-17.21528528965082,-36.49221297184315,CD-60  7821,,M2V,Main sequence
Gaia DR3 6114232433761438208,209.53254015680207,-39.63592927128449,86.5404506772896,11.555289950233934,1735.887684732574,-888.020995395279,130.79405212402344,12.618702,2.8778372,14.050475,12.304797697548963,3100.050537109375,,,native_gaia,Gaia,316.6649019351192,21.450720033462748,7.822591330552662,-7.380689696007664,4.2257792559936185,3235.3594861711777,255,193,125,#FFC17D,0.19366416117157256,161.51808389403377,-45.0267885538335,-19.985786276377763,SSSPM J1358-3938,,,Main sequence
Gaia DR3 4235280071072332672,299.11983048810464,-1.0455473629574281,86.46580129657241,11.56526609370173,-437.7592092098966,-706.2146390855088,,13.591183,0.39505768,13.645367,13.275404561383922,,,,native_gaia,Gaia,39.553030401189375,-14.92045715208851,8.616579552770169,7.116364733557583,-2.9777994572986004,7524.711608886719,235,237,255,#EBEDFF,,,,,LAWD 79,,DA6.4,White dwarf
Gaia DR3 5185493447310441728,42.81745198144149,-3.8882601693023133,86.29320806413826,11.588397539430222,1112.6624820303155,-1853.8599560489918,,17.976585,5.2630215,,17.656468461988776,,,,native_gaia,Gaia,179.1101345235804,-53.15152214808273,-6.948734065637814,0.10793004002655611,-9.273316748789338,2600.0,255,170,81,#FFAA51,,,,,2MASS J02511490-0352459,,L3,Brown dwarf
Gaia DR3 2629427189619178368,336.1848241409647,-1.9853510894528266,86.15135317797584,11.607478734943946,471.63748762690864,-873.6838502855186,,19.352486,3.4736843,21.333883,19.028796173210033,,,,native_gaia,Gaia,62.209557151561,-46.817241230844544,3.7034859559950264,7.027127088835708,-8.463878498258048,2988.2455571492515,255,185,109,#FFB96D,,,,,2MASSW J2224438-015852,,L4.5V,Brown dwarf
Gaia DR3 6421389047155380352,283.9552174797081,-69.24056104171599,86.1408962780358,11.608887801356438,459.16317811379446,-693.1053347370739,,14.226747,4.039603,16.77449,13.90279349011044,,,,native_gaia,Gaia,326.07471601270413,-25.62074952628722,8.68553939594015,-5.842005443726565,-5.019826070843799,2724.158706665039,255,174,89,#FFAE59,0.1279161952966868,,,,SCR J1855-6914,,M6e,Main sequence
Gaia DR3 5550620058937466880,95.27757860461126,-49.09274147732291,85.90974675331594,11.640122777586956,-26.326115913907433,255.0728296868922,-6.705883502960205,12.016486,2.7316122,13.322718,11.686698361979559,,,,native_gaia,Gaia,257.2223287258509,-24.93028619520326,-2.334546204008697,-10.29411092375446,-4.90648882482029,3327.2723279680527,255,196,131,#FFC483,0.23693111466143085,-12.508490678884002,8.275262816394006,4.4986311335471765,L  308-57,,,Main sequence
Gaia DR3 605079910398496640,134.08122584963937,12.662731415781227,85.80428137734184,11.654430104743794,-47.29533054382583,-246.674635235264,-18.36417579650879,12.760623,3.220086,14.501229,12.428167770144245,3018.138671875,,,native_gaia,Gaia,215.36928175754383,33.37133730799721,-7.936566136103361,-5.633822359198359,6.410671155082942,3093.969387478299,255,188,116,#FFBC74,0.1850282560899028,15.488146428617728,-2.917705304969605,-16.775020209028263,G  41-8,,M6V,Main sequence
Gaia DR3 3457493517036545280,90.62784809820145,39.1806905535364,85.75744552331717,11.660795093623715,157.56954972507415,-506.4048988395076,,17.23265,5.1377897,,16.899009937396443,,,,native_gaia,Gaia,172.86618655632648,8.158666700626608,-11.453419940683853,1.4334635423029565,1.6548402190884348,2600.0,255,170,81,#FFAA51,,,,,LSR J0602+3910,,L1V,Brown dwarf
