star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
Gaia DR3 6434941180801403648,284.32113173662157,-66.33199341261373,11.56272278692555,86.48482009192,75.5162891333055,-41.69513271252829,-25.102827072143555,7.5354595,0.4625435,7.6006284,2.8507600868222376,6968.8193359375,1.4634217023849487,1.3440375328063965,native_gaia,Gaia,329.2746302991032,-25.261033302832846,67.23525771978221,-39.961651558952106,-36.906782985884,7187.282562255859,240,240,255,#F0F0FF,1.2998245953487144,-37.56773037681711,9.227423443150188,-19.606304656748666,HD 174787,,F0V,Main sequence,False
Gaia DR3 664528167651463936,130.09619122270038,20.82606819950914,11.562580602116697,86.48588359392156,64.57485662947165,-128.92506062977483,-55.92821502685547,9.313084,0.8328533,9.469576,4.628357514685195,5705.8798828125,0.9554834961891174,8.840460777282715,native_gaia,Gaia,204.623089165538,32.87603417612259,-66.0300920345911,-30.263128915212,46.9465444435055,5732.476049423218,255,241,233,#FFF1E9,1.0053387801685647,70.71613964599312,-32.13023588538719,-24.282284659310147,HD  73708,,G2V,Main sequence,False
Gaia DR3 6750812317204354048,301.03544364502017,-28.018675036780586,11.5625104219929,86.4864085309634,-3.005402384773209,3.078561926897605,2.001020669937134,9.062174,0.7240753,9.186525,4.377434529400084,5972.05126953125,1.0764451026916504,2.7295522689819336,native_gaia,Gaia,13.705662294307924,-27.34090063587361,74.63744043531294,18.202461343730484,-39.721804426282176,6089.423495205966,255,245,243,#FFF5F3,1.0375083936666558,2.2275370094384286,1.3914078472479545,0.46633373132890094,HD 190035,,G0V,Main sequence,False
Gaia DR3 4003559679137550720,182.78069947263754,25.99013449687604,11.562245610154132,86.48838934210025,-11.978564963240352,-9.098930150755642,0.1445062756538391,9.401988,0.79502964,9.546816,4.7171989825087515,5743.677734375,0.9940516352653503,4.4649152755737305,native_gaia,Gaia,217.85065473694073,80.91581770607908,-10.782368244699141,-8.378940779876181,85.40360283637776,5854.629190618341,255,242,236,#FFF2EC,0.9914700634020328,-2.508183050218425,-5.59013001046513,-0.71876834831599,HD 105863,,F8.2,Main sequence,False
Gaia DR3 2441673072233002496,2.0008518125599846,-7.54456036752789,11.562166389513552,86.48898193568311,-28.79678787289216,30.980673177285055,-25.376724243164062,7.7347193,0.6348047,7.8359537,3.0499153512032002,6230.8603515625,1.3414192199707031,3.103886604309082,native_gaia,Gaia,93.20724471501993,-67.87366553070086,-1.8225585269021072,32.52505775811324,-80.11955375885674,6384.8279987682,255,248,252,#FFF8FC,1.2538656881838768,4.583399136910913,6.112942680381815,29.771475667541768,HD    334,,F5/6V,Main sequence,False
Gaia DR3 2081646717102492416,303.67361216255466,45.682703361044,11.561855468582275,86.4913077937499,60.732342115151035,-45.82684106594354,-53.336612701416016,9.737405,0.9367113,9.928559,5.052542503718604,5505.79345703125,0.8907758593559265,10.92253589630127,native_gaia,Gaia,81.88410264622614,6.044949886659735,12.14259451764734,85.14894535348795,9.108283451996058,5413.112717628479,255,236,222,#FFECDE,0.9308658125809752,-4.970237294305796,-49.55693124586233,-36.56906165996356,GSC 03559-02592,,,Main sequence,False
Gaia DR3 1006236315478002176,92.62117834815784,62.21959727660659,11.561738129718712,86.49218558493067,-13.283938368509958,-206.5769899193365,25.143415451049805,9.5844755,0.88153267,9.756737,4.899591159755195,5609.58447265625,0.9390184283256531,7.389519691467285,native_gaia,Gaia,151.998589433727,19.250449545739965,-72.09711227669905,38.33699139140968,28.51630515466753,5582.787042617798,255,239,228,#FFEFE4,0.9585076217309889,-67.57069093349705,-50.75906444933115,-26.33556186581625,BD+62   817,,G5,Main sequence,False
Gaia DR3 5297361093222253568,132.31364874444122,-64.79769499606269,11.56161344634086,86.49311833864246,-31.19527559551146,15.295664698354642,28.811182022094727,8.076676,0.5722332,8.163494,3.3917685936115376,6522.7353515625,1.2824004888534546,2.030466079711914,native_gaia,Gaia,280.55814386493296,-13.075121532183873,15.437532952515678,-82.82431330545698,-19.567197596025373,6638.833999633789,252,247,255,#FCF7FF,1.1749764783973373,-7.64498309529179,-28.505121598578107,-12.729034459590222,HD  75891,,F5V,Main sequence,False
Gaia DR3 4857866019051550976,61.222473722269115,-35.83987057343122,11.561194626502386,86.4962516682872,0.5671767227288065,-108.691351308422,-2.7474567890167236,8.667392,0.66430664,8.775936,3.9824053388503966,6182.76171875,1.1492772102355957,2.5747604370117188,native_gaia,Gaia,237.3853185127111,-48.27456646223009,-31.02870297554324,-48.490850899076975,-64.55585584129976,6287.203480113636,255,247,249,#FFF7F9,1.0881531616858466,39.045988554880395,-21.630638966096637,1.1615742769453263,HD  25927A,,F3/6,Main sequence,False
Gaia DR3 3953772074643910784,186.34368543453112,23.229043390808272,11.560628994261968,86.5004837103883,-11.221236481102425,-10.598004078671345,-0.504400908946991,8.457365,0.6208401,8.555253,3.7722723557869546,6383.6064453125,1.2273832559585571,1.365673303604126,native_gaia,Gaia,244.9851272851821,82.93276784613484,-4.500216271699928,-9.644208174464769,85.84329318197587,6431.038305109198,255,248,253,#FFF8FD,1.1150932877196211,-1.7491286616680704,-5.9697491239931795,-1.2706395471374008,HD 108154,,F5,Main sequence,False
Gaia DR3 3301614241737699712,59.316189460919816,8.920921515920046,11.560528406213768,86.50123635027802,61.98278788427498,-39.51056995576217,17.53396987915039,9.605727,0.87323666,9.775241,4.920615621637282,5634.39892578125,0.9567641019821167,5.784052848815918,native_gaia,Gaia,180.8813233450734,-32.3431209917408,-73.07274040892288,-1.1240931222466677,-46.27715326064629,5608.297282218933,255,239,228,#FFEFE4,0.9547080201860334,-19.154486655046615,-29.081096500088385,-1.822700299355594,BD+08   601,,K0,Main sequence,False
Gaia DR3 5290305424025080192,124.73224853603033,-60.16479223547293,11.560179323703478,86.50384842643037,-45.938203192842224,4.19199452244158,11.465665817260742,9.260372,0.8139734,9.410977,4.5751950168426525,5691.25439453125,0.9506101012229919,9.576318740844727,native_gaia,Gaia,274.60640200814464,-13.331994010022854,6.759926141976724,-83.90070734276142,-19.94719274790708,5791.942478526722,255,241,235,#FFF1EB,1.0121544850201727,-10.76543941024958,-8.571450029538147,-17.31807965150897,HD  70467,,G5,Main sequence,False
HIP 113202,343.8652158249305,52.621887577147426,11.5600004196167,86.50518798828125,21.979999542236328,-25.6299991607666,,7.7912383,0.5321902,7.89,3.106027603149414,,,,transformed_from_johnson,Hipparcos,105.71049162533915,-6.328344387369309,-23.28086081284051,82.76611938237313,-9.535121975296635,6839.048981666565,247,245,255,#F7F5FF,1.2409167069655198,,,,HD 216828,,F5,Main sequence,False
HIP 23480,75.70116067503379,-50.794283310519134,11.5600004196167,86.50518798828125,5.690000057220459,-171.63999938964844,,7.991975,0.7358113,8.14,3.306764602661133,,,,transformed_from_johnson,Hipparcos,257.7098084462754,-37.59801232237935,-14.589424640574606,-66.96822081057663,-52.77834441331716,6050.588084567677,255,244,242,#FFF4F2,1.1945927840012769,,,,HD  32761,,G0V,Main sequence,False
