star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
Gaia DR3 2357054794797561728,12.503188552459303,-18.597326777909963,17.637151545186114,56.69849790869093,25.433097297473743,-194.5325464007751,21.415929794311523,11.285553,1.7006025,11.841768,7.517695211265199,,,,native_gaia,Gaia,120.65663147645245,-81.46277758877606,-4.291760169030153,7.240626841006377,-56.07025755873299,4063.0118795541616,255,213,168,#FFD5A8,0.59898884507056,20.654328178965045,-44.42023701519302,-28.97302250424664,G 268-56,,,Main sequence,False
Gaia DR3 872697909568119680,111.02905110428516,26.898554000718583,17.636960158289252,56.69911317058834,27.494058202101705,-86.3788144533165,26.268672943115234,12.065108,1.8458805,12.710784,8.297226968470898,3625.1435546875,0.5679422616958618,10.286998748779297,native_gaia,Gaia,191.59351918634783,18.607292119528758,-52.63901744131896,-10.79903368045972,18.09154909652567,3865.410334889482,255,209,158,#FFD19E,0.5517731026678471,-20.03151012022726,-28.92163448163704,6.779173189247281,Gaia DR3 872697909568119680,,,Main sequence,False
Gaia DR3 5343679051348736256,179.53919718285732,-56.109715776485594,17.63603152503898,56.70209868814519,-134.759286097451,-145.24141895468227,4.441035747528076,11.840555,1.7789726,12.444298,8.072559523399761,4099.85888671875,0.6298284530639648,0.9704784750938416,native_gaia,Gaia,295.51002530329356,5.99232303292234,24.286404628181906,-50.89458640469355,5.919427385445648,3954.49944129357,255,211,163,#FFD3A3,0.5672823129485851,-20.769033454028207,-20.087344083305936,-44.95635376966326,PM J11581-5606,,,Main sequence,False
Gaia DR3 562592822596348160,37.02759653526009,79.93676180275342,17.63468896804589,56.706415509340886,227.4752267253262,-112.8724679605452,-18.26152992248535,10.31506,1.2767153,10.645672,6.54689868286021,4565.8642578125,0.7342443466186523,11.086807250976562,native_gaia,Gaia,127.24299592360596,17.8838019504409,-32.66030583851115,42.961381490023705,17.41383596229102,4749.638053894043,255,227,198,#FFE3C6,0.6953101317139789,-44.55818543525874,-53.92407229949057,-10.002231924574335,G 245-53,,K5,Main sequence,False
Gaia DR3 3543404167309462272,176.6758339985663,-19.469800427974842,17.633799412931417,56.709276122686795,-136.06980101030726,-8.007339711343056,-7.501583099365234,8.019953,0.7072506,8.139721,4.251682255650758,5994.58447265625,1.072466254234314,4.015371322631836,native_gaia,Gaia,282.60909491569595,40.83338536255597,9.366528187351202,-41.872216158394686,37.08001701805652,6145.098030783914,255,245,245,#FFF5F5,1.0536304800447747,-32.27253114104631,-10.800882928929303,-15.517379054892443,HD 102346,,F8V,Main sequence,False
Gaia DR3 2106445823901496448,286.1179474328133,45.49065464747235,17.632987316423403,56.71188789823479,113.67710951035184,22.79457709287314,-45.42977523803711,10.727523,1.4668379,11.152557,6.9591523256381365,4485.9609375,0.6998363137245178,13.304046630859375,native_gaia,Gaia,75.94032933038542,16.840928267218214,13.186284669444007,52.653630594956596,16.43031681886223,4386.686008159931,255,220,184,#FFDCB8,0.6540847674361863,-25.263619254675046,-30.70397902301326,-38.13676162815012,TYC 3541-3289-1,,,Main sequence,False
Gaia DR3 2503950201103423616,38.79462947200429,4.123126345902532,17.631772227998503,56.71579618139818,196.6907443438202,-108.01643515271459,10.25369930267334,8.028295,0.6977334,8.145516,4.259774397665321,6029.80810546875,1.0892276763916016,3.3033862113952637,native_gaia,Gaia,165.61613351268176,-49.95152464478807,-35.349017140805024,9.065475886406063,-43.41596101230472,6176.591287092729,255,246,246,#FFF6F6,1.0525930259403433,-27.78954099631672,-54.48119082400824,-2.144641699701372,HD  16086,,F6/7V,Main sequence,False
Gaia DR3 3836803656859531776,151.03479338206355,3.2006382880911133,17.63168185273515,56.71608689132926,-76.35568666233428,-93.71441540371485,5.32122802734375,6.348881,0.55280733,6.431526,2.5803494718385807,6576.93359375,1.4882526397705078,2.056988000869751,native_gaia,Gaia,236.43697055043475,43.44306092482828,-22.766070039158244,-34.313705207933765,38.999874386207594,6735.963344573975,250,246,255,#FAF6FF,1.3622270449603275,-6.725208872203114,-25.999629304466403,-19.062906540465146,*  13 Sex,,F3V,Main sequence,False
Gaia DR3 4869712848820242432,64.25680270322374,-35.751687218936645,17.631368644018675,56.71709441225048,24.732244352661716,69.72542341509799,-6.803978443145752,11.39704,1.6983814,11.951934,7.62847049682339,,,,native_gaia,Gaia,237.43785988817666,-45.81218103761681,-21.276962695597355,-33.31834430775865,-40.66949212380135,4066.0872591458833,255,213,168,#FFD5A8,0.5926588287529492,-15.881129709006855,9.079247832337746,10.359081581484432,Gaia DR3 4869712848820242432,,,Main sequence,False
Gaia DR3 2720491869368280192,331.5515798163984,5.774790026858558,17.631152131760793,56.71779090366976,-7.953058014851908,-44.19654871283329,18.231979370117188,10.726441,1.4171371,11.125702,6.957844847330712,4439.84912109375,0.6977977156639099,10.729975700378418,native_gaia,Gaia,66.16643838307546,-38.26225791488447,17.99532201835594,40.736214202218335,-35.12316960240153,4474.411193847656,255,221,186,#FFDDBA,0.6542155152669288,13.64274516335382,5.36911234323028,-16.224466561720543,StKM 1-1970,,K4,Main sequence,False
